MouseID,Age,litter,Strain,Gender,Diet,Wt,Glucose
10,4,1,B10.Br,M,RegD,15.85,8.25
10,8,1,B10.Br,M,RegD,25.57,7.65
10,12,1,B10.Br,M,RegD,25.75,7.2
10,16,1,B10.Br,M,RegD,25.84,7.4
11,4,1,B10.Br,M,RegD,17.34,7.8
11,8,1,B10.Br,M,RegD,23.65,7
11,12,1,B10.Br,M,RegD,27.04,6.2
11,16,1,B10.Br,M,RegD,27.01,5.7
12,4,1,B10.Br,M,RegD,15.92,7.4
12,8,1,B10.Br,M,RegD,23.49,6.5
12,12,1,B10.Br,M,RegD,25.83,6.8
12,16,1,B10.Br,M,RegD,26.63,8
13,4,1,B10.Br,M,RegD,13.45,8.7
13,8,1,B10.Br,M,RegD,24.24,7.5
13,12,1,B10.Br,M,RegD,25.87,6.8
13,16,1,B10.Br,M,RegD,27.29,7.5
14,4,2,B10.Br,M,RegD,15.82,8.06
14,8,2,B10.Br,M,RegD,24.3,7.1
14,12,2,B10.Br,M,RegD,26.92,7.5
14,16,2,B10.Br,M,RegD,27.76,8.4
15,4,2,B10.Br,M,RegD,16.35,8.5
15,8,2,B10.Br,M,RegD,23.32,6.9
15,12,2,B10.Br,M,RegD,25.96,7.3
15,16,2,B10.Br,M,RegD,26.05,7.1
16,4,2,B10.Br,M,RegD,14.2,8.1
16,8,2,B10.Br,M,RegD,21.93,8.5
16,12,2,B10.Br,M,RegD,26.15,6.9
16,16,2,B10.Br,M,RegD,26.34,7.2
17,4,2,B10.Br,M,RegD,15.35,8.5
17,8,2,B10.Br,M,RegD,22.16,9.2
17,12,2,B10.Br,M,RegD,24.07,7.2
17,16,2,B10.Br,M,RegD,25.78,7.2
18,4,3,B10.Br,M,HFD,15.29,8.1
18,8,3,B10.Br,M,HFD,24.79,9.3
18,12,3,B10.Br,M,HFD,30.86,7.9
18,16,3,B10.Br,M,HFD,32.33,10
19,4,3,B10.Br,M,HFD,17.29,9.6
19,8,3,B10.Br,M,HFD,25.06,9.2
19,12,3,B10.Br,M,HFD,31.45,8.3
19,16,3,B10.Br,M,HFD,32.33,7.3
20,4,3,B10.Br,M,HFD,16.69,9.03
20,8,3,B10.Br,M,HFD,24.67,8
20,12,3,B10.Br,M,HFD,28.26,8.6
20,16,3,B10.Br,M,HFD,29.3,8
21,4,3,B10.Br,M,HFD,16.32,9.5
21,8,3,B10.Br,M,HFD,24.79,8.35
21,12,3,B10.Br,M,HFD,30.92,8.1
21,16,3,B10.Br,M,HFD,32.79,7.4
23,4,1,NODk,M,RegD,21.68,7.3
23,8,1,NODk,M,RegD,29.51,7.1
