"","year","degree","obs.days.freq","obs.days.dur","obs.norm","sex","age","anon.id"
"1",2012,2,1,NA,1,"male","adult","bad618a9"
"2",2011,2,1,NA,1,"male","adult","bad618a9"
"3",2015,9,2,20,1,"male","adult","bad618a9"
"4",2013,14,2,1,1,"male","adult","bad618a9"
"5",2014,10,1,NA,2,"male","adult","bad618a9"
"6",2014,3,2,2,1,"male","adult","f3915b88"
"7",2011,16,2,7,1,"male","adult","f3915b88"
"8",2013,11,2,38,1,"male","adult","f3915b88"
"9",2015,17,3,75.5,1,"male","adult","f3915b88"
"10",2012,25,3,21,1,"male","adult","f3915b88"
"11",2015,24,5,27.5,1,"female","adult","cb539a97"
"12",2014,20,4,12,1,"female","adult","cb539a97"
"13",2012,1,2,17,1,"female","adult","cb539a97"
"14",2013,39,8,19.1428571428571,1,"female","adult","cb539a97"
"15",2011,10,1,NA,1,"female","juvenile","cb539a97"
"16",2012,1,1,NA,1,"female","adult","611fddca"
"17",2011,8,1,NA,1,"female","adult","611fddca"
"18",2012,23,3,33.5,1,"female","adult","59dd1cd5"
"19",2013,24,9,23.875,1,"female","adult","59dd1cd5"
"20",2011,25,3,18.5,1.33333333333333,"female","adult","59dd1cd5"
"21",2015,52,4,48,1,"female","adult","59dd1cd5"
"22",2012,37,5,19,1.4,"female","calf","109a5ff4"
"23",2014,34,5,44.5,1.2,"female","juvenile","109a5ff4"
"24",2011,24,2,36,1,"female","calf","109a5ff4"
"25",2013,41,5,45,1.6,"female","calf","109a5ff4"
"26",2015,44,9,16.125,1.22222222222222,"female","juvenile","109a5ff4"
"27",2011,9,3,62.5,1,"male","adult","28589eeb"
"28",2012,7,2,29,1,"male","adult","9f73d70f"
"29",2015,78,2,36,1,"male","adult","9f73d70f"
"30",2013,16,3,10,1,"male","adult","9f73d70f"
"31",2014,15,3,17,1,"male","adult","9f73d70f"
"32",2011,12,1,NA,2,"male","adult","9f73d70f"
"33",2011,8,1,NA,1,"male","adult","a7b11610"
"34",2015,57,2,39,1,"male","adult","a7b11610"
"35",2013,7,2,9,1,"male","adult","a7b11610"
"36",2012,14,2,18,1,"male","adult","a7b11610"
"37",2011,15,4,64.6666666666667,1,"male","adult","eef65531"
"38",2014,7,2,62,1,"male","adult","eef65531"
"39",2013,34,10,17,1,"male","adult","eef65531"
"40",2012,16,4,16,1,"male","adult","eef65531"
"41",2014,27,5,27.5,1,"female","juvenile","d634942e"
"42",2012,23,10,13.7777777777778,1.3,"female","juvenile","d634942e"
"43",2011,29,9,18.875,1.11111111111111,"female","juvenile","d634942e"
"44",2015,11,12,11.1818181818182,1.33333333333333,"female","adult","d634942e"
"45",2013,56,11,19,1.27272727272727,"female","juvenile","d634942e"
