Code Sex BirthYear DeathYear AgeAtDeath FemaleLBS FemaleLRS ShotOrNot Group Status DeathType MaleLBS animal LBS GGImm Imm Mother
ABA14 Male 2014 NA NA NA NA Living 3 L NA 0 ABA14 0 0.765625 loc HIA09
ABA16 Female 2016 NA NA 0 0 Living 3 L NA NA ABA16 0 0.765625 loc HIA09
ABS04 Female 2004 2005 0 0 0 DeadNotShot 1 D N NA ABS04 0 0.71875 loc IVO99
ABS06 Female 2006 2007 0 0 0 DeadNotShot 1 D N NA ABS06 0 0.671875 loc IVO99
ABS08 Male 2008 2009 0 NA NA DeadNotShot 1 D Q 0 ABS08 0 0.453125 loc IVO99
ABS11 Female 2011 2011 0 0 0 DeadNotShot 1 D Q NA ABS11 0 0.703125 loc IVO99
ABS14 Male 2014 2015 0 NA NA DeadNotShot 1 D NA 0 ABS14 0 0.6875 loc IVO99
ACA10 Male 2010 2010 0 NA NA Shot 3 D S 0 ACA10 0 0.58203125 loc GKG07
ACA11 Male 2011 2012 0 NA NA Shot 3 D S 0 ACA11 0 0.58203125 loc GKG07
ACC08 Male 2008 2009 0 NA NA DeadNotShot 1 D Q 0 ACC08 0 0.328125 loc MLD04
ACHIL Male 1967 1976 9 NA NA Shot 3 D S 0 ACHIL 0 0 base NA
ADAMS Male 1967 NA NA NA NA DeadNotShot 2 D NA 0 ADAMS 0 0 base NA
ADZ79 Male 1979 1981 1 NA NA DeadNotShot 1 D N 0 ADZ79 0 0.25 loc MOY74
ADZ80 Female 1980 1980 0 0 0 DeadNotShot 1 D Q NA ADZ80 0 0.25 loc MOY74
ADZ81 Female 1981 1981 0 0 0 DeadNotShot 1 D D NA ADZ81 0 0.25 loc MOY74
ADZ82 Female 1982 1986 3 0 0 Shot 3 D S NA ADZ82 0 0.25 loc MOY74
ADZ84 Female 1984 NA NA 3 1 DeadNotShot 2 D NA NA ADZ84 3 0.25 loc MOY74
ADZ85 Male 1985 1986 0 NA NA DeadNotShot 1 D N 0 ADZ85 0 0.375 loc MOY74
AGA84 Female 1984 1992 7 1 0 DeadNotShot 1 D N NA AGA84 1 0 loc RTH72
AIDAN Male 1997 2013 15 NA NA DeadNotShot 1 D Q 33 AIDAN 33 0.5 loc MOPRC
ALB91 Female 1991 1992 0 0 0 DeadNotShot 1 D N NA ALB91 0 0.4375 loc FUL87
ALB92 Male 1992 1992 0 NA NA DeadNotShot 1 D Q 0 ALB92 0 0.3125 loc FUL87
ALB93 Female 1993 1998 5 3 0 DeadNotShot 1 D Q NA ALB93 3 0.1875 loc FUL87
ALB94 Female 1994 2002 7 3 0 DeadNotShot 1 D N NA ALB94 3 0.203125 loc FUL87
ALB95 Male 1995 NA NA NA NA DeadNotShot 2 D NA 0 ALB95 0 0.203125 loc FUL87
ALB97 Male 1997 1999 1 NA NA DeadNotShot 1 D N 0 ALB97 0 0.5625 loc FUL87
ALBER Male 1966 NA NA NA NA DeadNotShot 2 D NA 0 ALBER 0 0 base NA
ALC89 Female 1989 1991 2 0 0 Shot 3 D S NA ALC89 0 0.28125 loc OCC85
ALC91 Male 1991 NA NA NA NA DeadNotShot 2 D NA 2 ALC91 2 0.53125 loc OCC85
ALCOC Male 1973 1979 6 NA NA Shot 3 D S 0 ALCOC 0 1 Imm NA
ALD01 Female 2001 2005 4 2 0 Shot 3 D S NA ALD01 2 0.375 loc SUR87
ALD03 Female 2003 NA NA 1 0 DeadNotShot 2 M NA NA ALD03 1 0.1875 loc SUR87
ALD06 Female 2006 NA NA 0 0 DeadNotShot 2 M NA NA ALD06 0 0.28125 loc SUR87
ALD91 Female 1991 2000 9 4 2 Shot 3 D S NA ALD91 4 0.4375 loc SUR87
ALD93 Male 1993 2008 14 NA NA DeadNotShot 1 D Q 0 ALD93 0 0.5625 loc SUR87
ALD94 Female 1994 2005 10 5 4 Shot 3 D S NA ALD94 5 0.3125 loc SUR87
ALD95 Female 1995 NA NA 1 0 DeadNotShot 2 D NA NA ALD95 1 0.6875 loc SUR87
ALD96 Male 1996 2002 6 NA NA Shot 3 D S 0 ALD96 0 0.5625 loc SUR87
ALD98 Female 1998 2004 6 2 1 Shot 3 D S NA ALD98 2 0.6875 loc SUR87
