individual,lifetime_reproduction,ImmGeneticAncestry,sex,ShotOrNot
1,0,0.765625,Male,Living
2,0,0.765625,Female,Living
3,0,0.71875,Female,DeadNotShot
4,0,0.671875,Female,DeadNotShot
5,0,0.453125,Male,DeadNotShot
6,0,0.703125,Female,DeadNotShot
7,0,0.6875,Male,DeadNotShot
8,0,0.58203125,Male,Shot
9,0,0.58203125,Male,Shot
10,0,0.328125,Male,DeadNotShot
11,0,0,Male,Shot
12,0,0,Male,DeadNotShot
13,0,0.25,Male,DeadNotShot
14,0,0.25,Female,DeadNotShot
15,0,0.25,Female,DeadNotShot
16,0,0.25,Female,Shot
17,3,0.25,Female,DeadNotShot
18,0,0.375,Male,DeadNotShot
19,1,0,Female,DeadNotShot
20,33,0.5,Male,DeadNotShot
21,0,0.4375,Female,DeadNotShot
22,0,0.3125,Male,DeadNotShot
23,3,0.1875,Female,DeadNotShot
24,3,0.203125,Female,DeadNotShot
25,0,0.203125,Male,DeadNotShot
26,0,0.5625,Male,DeadNotShot
27,0,0,Male,DeadNotShot
28,0,0.28125,Female,Shot
29,2,0.53125,Male,DeadNotShot
30,0,1,Male,Shot
31,2,0.375,Female,Shot
32,1,0.1875,Female,DeadNotShot
33,0,0.28125,Female,DeadNotShot
34,4,0.4375,Female,Shot
35,0,0.5625,Male,DeadNotShot
36,5,0.3125,Female,Shot
37,1,0.6875,Female,DeadNotShot
38,0,0.5625,Male,Shot
39,2,0.6875,Female,Shot
40,10,0.3125,Male,DeadNotShot
41,0,1,Male,DeadNotShot
42,0,0,Male,DeadNotShot
43,0,0.83984375,Male,Shot
44,0,0.296875,Female,DeadNotShot
45,0,0.203125,Male,Living
46,0,0.5234375,Female,Living
47,0,0.3359375,Male,Living
48,0,0.5234375,Male,DeadNotShot
49,3,0,Female,DeadNotShot
50,2,0,Female,DeadNotShot
51,1,0,Female,DeadNotShot
52,0,0,Female,DeadNotShot
53,0,0,Male,DeadNotShot
54,0,0,Female,DeadNotShot
55,0,0,Male,DeadNotShot
56,0,0.48828125,Male,DeadNotShot
57,0,0.84375,Male,DeadNotShot
58,0,0.640625,Male,DeadNotShot
59,0,0.84375,Female,Living
60,0,0.7265625,Male,DeadNotShot
61,0,0.7890625,Female,Living
62,0,0.328125,Male,Shot
63,0,0,Male,DeadNotShot
64,0,0,Male,DeadNotShot
65,3,0.25,Male,Shot
66,9,0,Female,DeadNotShot
67,5,0.25,Female,DeadNotShot
68,5,0.25,Female,DeadNotShot
69,0,0.25,Female,DeadNotShot
70,6,0.4375,Female,DeadNotShot
71,0,0.3125,Female,DeadNotShot
72,1,0.40625,Male,Living
73,4,0.375,Female,Living
74,0,0.3515625,Male,Shot
75,1,0.2890625,Female,Shot
76,0,0,Male,DeadNotShot
77,0,0.546875,Male,DeadNotShot
78,0,0.359375,Female,DeadNotShot
