museum,Species,Registration No.,StudNo,c_w,SPP,wingflat_adjusted,age,HWI,repeat,P2-P3,Q1_adjusted,Q2_adjusted,Q3_adjusted,Q4_adjusted,Q5_adjusted,Q6_adjusted,Q7_adjusted,Q8_adjusted,Q9_adjusted,Q10_adjusted,tail length,alula length unflattened,culL,culW
SAMUS,BP,b20144,,w,BPw,104,1+,44.00961538,1,-2.13,63.46,71.87,74,69.27,58.75,51.32,45.28,39.79,34.48,29.58,,25,7.92,6.54
AMNH,BP,amnh623549,,w,BPw,126.04,1+,46.26309108,1,-1.61,84.76,92.39,94,86.12,77.33,67.24,58.65,50.33,45.13,39.32,118,27,,
AMNH,BP,amnh623552,,w,BPw,117.59,1+,48.50752615,1,-1.39,73.76,82.61,84,73.9,63.15,53.81,47.26,39.97,34.56,28.45,106,25,,
SAMUS,BP,b36536,,w,BPw,121,1+,47.33884298,1,-1.29,76.97,83.71,85,77.91,68.66,59.04,49.83,43.12,35.58,31.91,118,27,,7.7
SAMUS,BP,b25623,,w,BPw,121,1+,45.76033058,1,-1.04,74.72,83.96,85,76.36,65.04,57.44,48.82,43.08,36.65,31.96,109,26,10.16,8.12
SAMUS,BP,b11715,,w,BPw,118,1+,45.1779661,1,-1.02,75.69,82.98,84,75.11,65.83,55.8,48.58,42.04,36.81,31.79,110,25,10.97,8.01
SAMUS,BP,b31488,,w,BPw,121,1+,45.63636364,1,-0.71,74.78,82.29,83,74.28,62.66,54.52,48.3,41.48,36.63,31.35,111,28,10.05,7.45
SAMUS,BP,b20141,,w,BPw,122,1+,46.03278689,1,-0.38,71.22,81.62,82,73.6,64.23,53.88,46.2,39.7,34.87,28.51,120,26,10.98,7.42
SAMUS,BP,b31495,,w,BPw,111,1+,43.32432432,1,0,70.56,76,76,68.62,58.23,51.18,41.87,37.3,32.77,27.13,102,26,9.85,7.42
SAMUS,BP,b28516,,w,BPw,115,1+,45.26956522,1,0,74.39,81,81,68.32,61.33,52.64,46.25,40.87,34.51,26.8,106,26,,8.39
SAMUS,BP,b20153,,w,BPw,118,1+,44.02542373,1,0,75.39,83,83,73.77,65.17,56.38,50.84,45.14,38.57,34.18,109,24,12.02,7.5
SAMUS,BP,b31491,,w,BPw,119,1+,45.87394958,1,0,76.13,85,85,74.47,64.33,56.92,49.76,44.55,37.23,32.64,115,26,10.91,8.05
SAMUS,BP,b31489,,w,BPw,116.39,1+,45.27021222,1,0,75.33,82,82,73.35,62.8,56.72,48.07,41.58,36.38,30.64,111,28,10.48,7.86
