"","id","year","sex","age","mass","survival","reproduction","fitness","StMass","mother"
"1","CN09-020",2011,"Male","A",48,0,1,1,1.64038282842655,"CN07-125"
"2","CN09-101",2011,"Female","A",38,0,0,0,0.676904390163184,"CN09-102"
"3","CN09-137",2011,"Female","A",34,0,3,3,0.291513014857839,"CN08-113"
"4","CN10-004",2011,"Female","A",44,0,2,2,1.2549914531212,"CN08-073"
"5","CN10-008",2011,"Male","A",46,0,0,0,1.44768714077388,NA
"6","CN10-041",2011,"Female","A",44,0,0,0,1.2549914531212,"CN09-073"
"7","CN10-046",2011,"Male","A",42,0,3,3,1.06229576546853,"CN09-039"
"8","CN10-054",2011,"Male","A",47,0,2,2,1.54403498460021,"CN09-132"
"9","CN10-063",2011,"Female","A",35,0,1,1,0.387860858684175,"CN09-075"
"10","CN10-065",2011,"Male","A",44,0,2,2,1.2549914531212,"CN09-137"
"11","CN10-068",2011,"Female","A",39,0,3,3,0.773252233989521,"CN10-017"
"12","CN10-069",2011,"Female","A",39,1,0,2,0.773252233989521,"CN09-052"
"13","CN10-069",2012,"Female","A",38,0,3,3,0.676904390163184,"CN09-052"
"14","CN10-075",2011,"Male","A",41,0,1,1,0.965947921642194,"CN09-052"
"15","CN10-091",2011,"Male","A",40,0,3,3,0.869600077815857,"CN09-064"
"16","CN10-097",2011,"Female","A",35,0,2,2,0.387860858684175,"CN09-138"
"17","CN10-098",2011,"Female","A",36,0,2,2,0.484208702510512,"CN09-138"
"18","CN11-001",2011,"Female","A",44,0,1,1,1.2549914531212,"CN10-002"
"19","CN11-002",2011,"Male","A",43,0,0,0,1.15864360929487,NA
"20","CN11-003",2011,"Male","A",42,0,0,0,1.06229576546853,"CN09-138"
"21","CN11-004",2011,"Female","A",40,1,2,4,0.869600077815857,"CN10-030"
"22","CN11-004",2012,"Female","A",52,0,2,2,2.02577420373189,"CN10-030"
"23","CN11-005",2011,"Male","A",42,1,3,5,1.06229576546853,NA
"24","CN11-005",2012,"Male","A",42,0,0,0,1.06229576546853,NA
"25","CN11-006",2011,"Female","A",37,0,2,2,0.580556546336848,"CN09-084"
"26","CN11-007",2011,"Female","A",33,0,0,0,0.195165171031502,"CN10-026"
"27","CN11-008",2011,"Male","A",43,0,3,3,1.15864360929487,"CN10-017"
"28","CN11-009",2011,"Female","A",51,0,0,0,1.92942635990556,"CN09-098"
"29","CN11-013",2011,"Female","A",40,0,0,0,0.869600077815857,NA
"30","CN11-014",2011,"Male","A",48,0,0,0,1.64038282842655,NA
"31","CN11-015",2011,"Male","A",47,0,5,5,1.54403498460021,NA
"32","CN11-018",2011,"Female","A",48,0,0,0,1.64038282842655,"CN09-064"
"33","CN11-019",2011,"Male","A",45,0,0,0,1.35133929694754,NA
"34","CN11-021",2011,"Male","A",41,0,0,0,0.965947921642194,"CN09-112"
"35","CN11-023",2011,"Female","A",36,0,4,4,0.484208702510512,"CN09-059"
"36","CN11-025",2011,"Female","J",26,0,0,0,-0.479269735752853,NA
"37","CN11-026",2011,"Male","A",48,0,1,1,1.64038282842655,NA
"38","CN11-027",2011,"Female","J",19,0,0,0,-1.15370464253721,NA
"39","CN11-028",2011,"Male","J",21,1,0,2,-0.961008954884535,"CN10-004"
"40","CN11-028",2012,"Male","A",41,1,1,3,0.965947921642194,"CN10-004"
"41","CN11-028",2013,"Male","A",41,0,5,5,0.965947921642194,"CN10-004"
"42","CN11-030",2011,"Female","J",17,0,0,0,-1.34640033018988,"CN10-004"
"43","CN11-031",2011,"Female","J",22,1,0,2,-0.864661111058199,"CN10-063"
"44","CN11-031",2012,"Female","A",NA,0,6,6,NA,"CN10-063"
"45","CN11-032",2011,"Male","J",NA,0,0,0,NA,"CN11-004"
"46","CN11-033",2011,"Male","A",NA,0,0,0,NA,"CN09-084"
"47","CN11-034",2011,"Male","J",NA,1,0,2,NA,"CN11-006"
"48","CN11-034",2012,"Male","A",50,0,2,2,1.83307851607922,"CN11-006"
"49","CN11-036",2011,"Male","J",NA,0,0,0,NA,NA
"50","CN11-037",2011,"Male","J",NA,0,0,0,NA,"CN09-137"
"51","CN11-038",2011,"Male","J",NA,0,0,0,NA,"CN09-137"
"52","CN11-039",2011,"Female","A",45,0,1,1,1.35133929694754,"CN08-076"
"53","CN11-040",2011,"Male","J",NA,1,0,2,NA,NA
"54","CN11-040",2012,"Male","A",42,0,3,3,1.06229576546853,NA
"55","CN11-041",2011,"Male","J",17,0,0,0,-1.34640033018988,"CN11-023"
"56","CN11-043",2011,"Male","J",21,0,0,0,-0.961008954884535,"CN11-023"
"57","CN11-044",2011,"Male","J",27,0,0,0,-0.382921891926516,"CN10-097"
"58","CN11-045",2011,"Female","A",35,1,0,2,0.387860858684175,NA
"59","CN11-045",2012,"Female","A",33,0,0,0,0.195165171031502,NA
"60","CN11-046",2011,"Male","J",25,0,0,0,-0.575617579579189,"CN10-097"
"61","CN11-047",2011,"Female","J",28,0,0,0,-0.28657404810018,"CN10-068"
"62","CN11-048",2011,"Male","J",22,0,0,0,-0.864661111058199,"CN10-068"
"63","CN11-050",2011,"Male","A",41,0,0,0,0.965947921642194,NA
"64","CN11-051",2011,"Female","J",20,0,0,0,-1.05735679871087,"CN10-068"
"65","CN11-052",2011,"Male","J",21,0,0,0,-0.961008954884535,"CN09-137"
"66","CN12-001",2012,"Female","A",42,0,1,1,1.06229576546853,"CN11-039"
"67","CN12-002",2012,"Female","A",38,0,2,2,0.676904390163184,NA
"68","CN12-003",2012,"Female","A",34,1,4,6,0.291513014857839,"CN10-098"
"69","CN12-003",2013,"Female","A",40,0,4,4,0.869600077815857,"CN10-098"
"70","CN12-004",2012,"Female","A",39,1,4,6,0.773252233989521,NA
"71","CN12-004",2013,"Female","A",42,0,2,2,1.06229576546853,NA
"72","CN12-005",2012,"Female","A",38,0,0,0,0.676904390163184,"CN11-006"
"73","CN12-006",2012,"Male","A",50,0,2,2,1.83307851607922,"CN11-004"
"74","CN12-007",2012,"Female","A",35,0,0,0,0.387860858684175,"CN11-001"
"75","CN12-008",2012,"Male","A",42,0,3,3,1.06229576546853,"CN11-023"
"76","CN12-009",2012,"Female","A",35,0,2,2,0.387860858684175,NA
"77","CN12-010",2012,"Male","A",48,0,2,2,1.64038282842655,NA
"78","CN12-011",2012,"Male","A",44,0,6,6,1.2549914531212,"CN12-009"
"79","CN12-012",2012,"Male","A",39,0,1,1,0.773252233989521,NA
"80","CN12-013",2012,"Male","A",51,0,0,0,1.92942635990556,NA
"81","CN12-014",2012,"Male","A",39,1,2,4,0.773252233989521,"CN11-023"
"82","CN12-014",2013,"Male","A",39,0,7,7,0.773252233989521,"CN11-023"
"83","CN12-015",2012,"Female","A",47,1,4,6,1.54403498460021,NA
"84","CN12-015",2013,"Female","A",46,0,0,0,1.44768714077388,NA
"85","CN12-016",2012,"Male","A",51,0,7,7,1.92942635990556,NA
"86","CN12-017",2012,"Female","J",18,0,0,0,-1.25005248636354,"CN11-031"
"87","CN12-018",2012,"Male","A",NA,0,0,0,NA,NA
"88","CN12-019",2012,"Female","J",NA,1,1,3,NA,"CN12-002"
"89","CN12-019",2013,"Female","A",28,0,4,4,-0.28657404810018,"CN12-002"
"90","CN12-020",2012,"Male","A",48,0,0,0,1.64038282842655,NA
"91","CN12-021",2012,"Male","J",19,1,0,2,-1.15370464253721,"CN12-009"
"92","CN12-021",2013,"Male","A",40,0,6,6,0.869600077815857,"CN12-009"
"93","CN12-022",2012,"Male","A",44,0,2,2,1.2549914531212,NA
"94","CN12-024",2012,"Male","A",39,0,1,1,0.773252233989521,NA
"95","CN12-025",2012,"Female","J",23,0,0,0,-0.768313267231862,"CN11-031"
"96","CN12-026",2012,"Male","J",25,1,0,2,-0.575617579579189,"CN12-003"
"97","CN12-026",2013,"Male","A",40,0,3,3,0.869600077815857,"CN12-003"
"98","CN12-027",2012,"Male","J",25,0,0,0,-0.575617579579189,"CN12-003"
"99","CN12-028",2012,"Female","J",20,0,0,0,-1.05735679871087,"CN12-015"
"100","CN12-029",2012,"Female","J",21,1,0,2,-0.961008954884535,"CN10-069"
